image_path,object_filename,memscore
img/things/aardvark.png,aardvark.png,0.8885459899902344
img/things/abacus.png,abacus.png,0.9299437999725342
img/things/accordion.png,accordion.png,0.7518782615661621
img/things/acorn.png,acorn.png,0.8989747762680054
img/things/air_mattress.png,air_mattress.png,0.8021144866943359
img/things/air_pump.png,air_pump.png,0.778400719165802
img/things/airbag.png,airbag.png,0.8825919032096863
img/things/airboat.png,airboat.png,0.5741849541664124
img/things/aircraft_carrier.png,aircraft_carrier.png,0.7314049601554871
img/things/airplane.png,airplane.png,0.715260922908783
img/things/album.png,album.png,0.7475541830062866
img/things/alligator.png,alligator.png,0.8338696956634521
img/things/almond.png,almond.png,0.8863832354545593
img/things/aloe.png,aloe.png,0.9094705581665039
img/things/alpaca.png,alpaca.png,0.823731005191803
img/things/altar.png,altar.png,0.7218185663223267
img/things/aluminum_foil.png,aluminum_foil.png,0.8390861749649048
img/things/amber.png,amber.png,0.8604188561439514
img/things/ambulance.png,ambulance.png,0.8646783828735352
img/things/amplifier.png,amplifier.png,0.8283780813217163
img/things/anchor.png,anchor.png,0.6639772057533264
img/things/ankle.png,ankle.png,0.8693259954452515
img/things/anklet.png,anklet.png,0.8545671701431274
img/things/anteater.png,anteater.png,0.6176117062568665
img/things/antelope.png,antelope.png,0.7732360363006592
img/things/antenna.png,antenna.png,0.8211618065834045
img/things/anvil.png,anvil.png,0.8691315054893494
img/things/appetizer.png,appetizer.png,0.9002628922462463
img/things/apple_tree.png,apple_tree.png,0.6122199892997742
img/things/applesauce.png,applesauce.png,0.8859566450119019
img/things/apron.png,apron.png,0.8047592639923096
img/things/aquarium.png,aquarium.png,0.6769629120826721
img/things/arch.png,arch.png,0.7659618258476257
img/things/arm.png,arm.png,0.867785632610321
img/things/armor.png,armor.png,0.8138863444328308
img/things/arrow.png,arrow.png,0.7898451685905457
img/things/artichoke.png,artichoke.png,0.8721033930778503
img/things/arugula.png,arugula.png,0.8317007422447205
img/things/ashtray.png,ashtray.png,0.804138720035553
img/things/asparagus.png,asparagus.png,0.845981776714325
img/things/avocado.png,avocado.png,0.8769093751907349
img/things/awning.png,awning.png,0.8659279942512512
img/things/axe.png,axe.png,0.8962187170982361
img/things/baby.png,baby.png,0.8248252272605896
img/things/backdrop.png,backdrop.png,0.7445714473724365
img/things/backgammon.png,backgammon.png,0.8073175549507141
img/things/backpack.png,backpack.png,0.8142596483230591
img/things/backscratcher.png,backscratcher.png,0.8810438513755798
img/things/bacon.png,bacon.png,0.8037516474723816
img/things/badge.png,badge.png,0.8549482822418213
img/things/badger.png,badger.png,0.8257007598876953
img/things/bag.png,bag.png,0.8920378684997559
img/things/bagel.png,bagel.png,0.9716193675994873
img/things/bagpipe.png,bagpipe.png,0.9166861772537231
img/things/baklava.png,baklava.png,0.7805055379867554
img/things/balance_beam.png,balance_beam.png,0.8392463326454163
img/things/ball.png,ball.png,0.7613508701324463
img/things/balloon.png,balloon.png,0.8728381991386414
img/things/ballot_box.png,ballot_box.png,0.7848222851753235
img/things/bamboo.png,bamboo.png,0.6479008793830872
img/things/banana.png,banana.png,0.8982402086257935
img/things/banana_peel.png,banana_peel.png,0.8662946820259094
img/things/banana_split.png,banana_split.png,0.7855855226516724
img/things/bandage.png,bandage.png,0.9578790068626404
img/things/bandanna.png,bandanna.png,0.7191476225852966
img/things/banjo.png,banjo.png,0.8227488994598389
img/things/bank.png,bank.png,0.9453291296958923
img/things/banner.png,banner.png,0.7127144932746887
img/things/barbed_wire.png,barbed_wire.png,0.8968930840492249
img/things/barbell.png,barbell.png,0.8773341774940491
img/things/barcode.png,barcode.png,0.787539541721344
img/things/bark.png,bark.png,0.7257451415061951
img/things/barnacle.png,barnacle.png,0.7661430835723877
img/things/barrel.png,barrel.png,0.8346843719482422
img/things/barrette.png,barrette.png,0.9666519165039062
img/things/baseball.png,baseball.png,0.7315837144851685
img/things/baseball_bat.png,baseball_bat.png,0.7532273530960083
img/things/baseball_glove.png,baseball_glove.png,0.9220067262649536
img/things/basil.png,basil.png,0.8360764980316162
img/things/basket.png,basket.png,0.9089637994766235
img/things/basketball.png,basketball.png,0.9498848915100098
img/things/basketball_hoop.png,basketball_hoop.png,0.784939706325531
img/things/bassinet.png,bassinet.png,0.9022278785705566
img/things/bassoon.png,bassoon.png,0.8255208134651184
img/things/bat1.png,bat1.png,0.9334054589271545
img/things/bat2.png,bat2.png,0.8212676644325256
img/things/bathmat.png,bathmat.png,0.7630407214164734
img/things/bathrobe.png,bathrobe.png,0.8827715516090393
