0.6,1,0.6339836372,1,7,1
0.2,1,0.7150575705,1,8,0
0.8,1,0.8358166898,1,8,1
1,1,0.8064686665,1,9,0
0.2,0,0.7842398668,1,9,0
0.6,0,0.8484909432,1,9,0
0.2,0,0.6507445965,0,10,1
0.4,0,0.9076611344,0,10,1
1,1,0.7827865984,0,10,0
0.8,1,1.070601759,0,7,1
0,0,0.7624481739,1,9,1
0.4,0,0.9742539413,1,9,0
0.2,1,0.8940476207,0,10,0
0.4,1,1.015974608,1,9,1
0.6,1,0.7932027103,0,9,0
0.8,0,0.9541050568,1,9,1
0.4,0,0.6201255238,1,9,0
0.4,0,0.8210792048,1,9,0
0.6,0,1.081254948,0,12,1
0.4,1,0.8346893359,1,9,1
1,1,0.6117518442,0,8,0
0,0,0.5094155651,1,8,1
0.2,0,0.5996424789,0,9,1
0.2,0,0.8332680184,1,9,0
0,0,0.8430587361,0,10,1
0,0,0.7813075995,1,9,1
0,0,0.7098197108,0,8,1
0.6,0,0.7954102624,0,11,1
0.4,1,0.613976947,0,10,0
1,0,0.6314866534,1,10,0
0.6,1,0.8389331717,1,9,0
0.6,0,0.681211005,0,9,1
0.2,1,0.8029858628,1,10,0
1,0,0.539517438,0,11,0
1,1,0.8625461468,1,11,1
0.4,0,0.7100377176,1,9,0
0.6,0,0.6575258235,1,10,1
0.4,0,0.7319573723,0,10,1
0.4,0,0.5739830621,0,9,0
0.8,0,0.7134716306,0,9,1
0,0,0.4194823112,0,12,1
1,0,0.5643903138,0,12,0
0.2,0,0.6470401194,1,12,1
0.4,0,0.7149546938,0,11,1
0.2,1,1.01058363,1,10,1
0.6,0,0.4778733049,0,10,0
0.4,0,0.7724594986,1,17,0
0.6,0,0.7184176976,0,13,0
0.6,0,0.5463959463,1,10,0
0.8,0,0.7635942744,1,15,0
0.4,1,0.6469812971,0,7,1
0.6,0,0.8006086014,1,11,1
0.2,0,0.9391008895,0,8,0
0.6,0,0.795530214,1,20,1
0.4,1,0.6671130247,0,18,1
0.4,0,0.6604042118,0,8,0
0.8,1,0.6364369001,0,8,0
0,1,0.8478236739,0,11,0
0.2,0,0.6222941512,1,17,1
0,0,0.7684326954,0,10,0
0.8,1,0.7635533717,0,8,0
1,1,0.557262619,1,8,1
0.4,0,0.5528112296,0,10,1
0.8,1,0.7441440718,1,10,1
0.4,1,0.9552739989,0,10,1
0,0,0.7627392374,0,10,1
0.2,0,0.8699185653,1,13,0
0.4,1,0.7587679876,1,13,1
0.4,1,0.7047815397,0,12,0
0,0,0.5812863763,1,14,0
0.2,1,0.5890451139,0,11,1
1,0,0.692871579,1,10,1
0.4,1,0.5295729162,0,13,1
1,0,0.8769723848,1,12,0
0,0,0.7167191161,0,11,1
0.6,0,0.6852308512,1,11,0
0,0,0.6309386231,1,8,1
0.6,0,0.8001924446,1,10,1
0.8,0,0.530903222,0,10,1
0,1,0.6203039205,1,11,1
0.2,0,0.6929359892,1,8,0
1,1,0.6549433842,0,8,1
0.8,0,0.647868841,1,7,0
0.6,1,0.5471442612,0,7,1
0.8,0,0.7046913141,0,12,0
0.6,0,0.8573203012,0,10,1
0.6,0,0.7404274037,0,11,0
0.4,0,0.5636833925,1,10,0
0.2,1,0.4847230399,1,10,0
0,0,0.5414420944,1,10,0
0.8,1,0.7437562123,1,10,1
0,0,0.6735233907,0,11,1
0.8,0,0.7072188025,0,10,0
0.8,1,0.7327757496,0,11,1
0.2,0,0.6705157813,0,7,0
0.8,1,0.6166654993,1,8,1
0.8,0,0.7174169896,0,9,1
0.6,1,0.654133183,0,9,0
0.4,0,0.7101927642,1,8,0
0.6,1,0.5509218061,0,8,1
0.6,0,0.5480003664,0,12,1
0.6,0,0.5108663971,1,13,1
1,0,0.5130911591,1,12,0
0,1,0.6995055396,1,9,1
0.8,1,0.610502596,1,9,1
1,0,0.7123444239,1,10,0
0.8,0,0.7920505339,0,10,0
0.2,1,0.799191202,1,12,0
0.4,1,0.7847999372,1,11,0
0,1,0.7086254051,0,12,0
0.2,1,0.9122278979,0,12,0
0.6,0,0.540462506,1,8,1
0.8,0,0.6036238382,0,7,0
0.6,0,0.6612329381,0,6,0
0.2,1,0.588208558,0,17,0
1,1,0.8051417638,0,14,0
0.4,1,0.5193672953,1,12,1
0,0,0.598693396,1,9,0
0,0,0.6016581077,0,16,0
1,1,0.561906103,1,10,1
0.2,1,0.4957816675,0,7,0
0.4,0,0.6180049675,1,7,0
0.4,0,0.7442423869,0,11,0
0.8,0,0.4800328594,0,11,0
0.6,0,0.4969038796,0,11,0
0.8,0,0.8047693064,1,12,0
0.2,0,0.7090769187,0,13,1
0.8,0,1.400733335,1,17,1
0.6,0,0.6829448147,0,14,0
0,0,0.6788456775,0,10,0
1,1,0.7962980885,0,12,0
1,1,0.6573402807,1,11,0
0.6,0,0.6625678046,0,14,0
0.4,0,0.632063265,1,15,0
0.4,0,1.276869129,1,13,0
0.8,1,0.9203671822,0,12,1
1,1,0.682832079,1,13,0
0,0,0.7001838796,0,18,0
0.2,0,0.5808494939,1,11,0
0.2,0,0.655636386,1,10,1
0.2,0,0.6028195219,0,10,0
0.8,1,0.6108561,1,18,1
0.4,0,0.475714813,1,20,1
0.8,1,0.5329538276,1,13,1
0.2,1,0.6149560586,0,12,1
0,0,0.6247540955,0,10,0
1,1,0.689645268,1,12,0
1,1,0.6432881542,1,12,1
0.2,0,0.5758217741,0,10,0
0,0,0.7228112575,0,10,1
0.2,0,0.8016915582,1,8,1
0,0,1.41460675,0,9,1
0,0,1.027146705,0,9,1
0.8,0,0.7115513803,0,10,0
1,1,0.6155064199,0,12,1
0.2,1,0.667984833,0,10,1
0,0,0.6526070014,1,9,1
0.8,1,0.5355400192,0,10,0
0.8,1,0.6281613298,1,10,0
0,1,0.6423321543,0,10,1
0.8,0,0.7528005689,1,10,1
0.2,1,1.419453276,1,15,0
0.6,0,0.9776059175,1,11,1
0.6,1,0.6955409385,1,10,1
0.6,0,0.5251004538,0,9,1
0.6,1,0.5109339254,0,11,1
0,0,0.6152817598,0,12,1
0.4,1,0.6996898409,0,8,1
0.8,0,0.5414994992,1,7,1
0.4,0,0.6469048066,1,6,0
0.8,0,0.5987213254,1,5,0
0.6,0,0.8712543175,0,14,0
0,0,0.7697453378,1,8,1
0.4,0,0.7676990125,1,11,1
0.6,1,0.626271164,0,19,1
