image_name,things_file_path,things_memorability,things_category,memorability_percentile
pheasant_20s.jpg,images/pheasant/pheasant_20s.jpg,0.853658537,pheasant,78
cabbage_13n.jpg,images/cabbage/cabbage_13n.jpg,0.857142857,cabbage,79
pet_food_11s.jpg,images/pet_food/pet_food_11s.jpg,0.857142857,pet_food,80
pig_02s.jpg,images/pig/pig_02s.jpg,0.868421053,pig,81
omelet_11s.jpg,images/omelet/omelet_11s.jpg,0.871794872,omelet,82
sausage_16s.jpg,images/sausage/sausage_16s.jpg,0.871794872,sausage,83
bread_06s.jpg,images/bread/bread_06s.jpg,0.87804878,bread,84
gearshift_04n.jpg,images/gearshift/gearshift_04n.jpg,0.880952381,gearshift,85
bead_14s.jpg,images/bead/bead_14s.jpg,0.897435897,bead,86
arugula_13s.jpg,images/arugula/arugula_13s.jpg,0.923076923,arugula,87
butter_05s.jpg,images/butter/butter_05s.jpg,0.944444444,butter,88
grapefruit_05s.jpg,images/grapefruit/grapefruit_05s.jpg,0.875,grapefruit,89
sewing_kit_05s.jpg,images/sewing_kit/sewing_kit_05s.jpg,0.875,sewing_kit,90
mannequin_07s.jpg,images/mannequin/mannequin_07s.jpg,0.87804878,mannequin,91
knob_16s.jpg,images/knob/knob_16s.jpg,0.880952381,knob,92
hammock_09s.jpg,images/hammock/hammock_09s.jpg,0.897435897,hammock,93
nut_02s.jpg,images/nut/nut_02s.jpg,0.9,nut,94
kale_03s.jpg,images/kale/kale_03s.jpg,0.902439024,kale,95
stamp1_03s.jpg,images/stamp1/stamp1_03s.jpg,0.902439024,stamp1,96
mouse1_02s.jpg,images/mouse1/mouse1_02s.jpg,0.925,mouse1,97
gravy_10s.jpg,images/gravy/gravy_10s.jpg,0.948717949,gravy,98
pantyhose_05s.jpg,images/pantyhose/pantyhose_05s.jpg,0.951219512,pantyhose,99
