0,0,0.9474839778,1,7,0
0.4,1,1.343338831,1,9,1
0.2,1,0.8327984693,0,9,0
1,0,0.9423024082,0,10,1
0.2,0,1.343475884,0,11,0
0.8,0,1.025551833,1,10,1
0.8,1,0.9196776082,0,13,1
0.6,0,1.004829118,0,10,1
0.8,0,1.014646813,1,12,0
1,0,0.8463417538,0,10,1
0.6,0,0.8403022387,0,14,0
0.6,0,0.7241753121,0,12,0
1,1,0.9430329897,0,11,1
0.4,0,1.164361164,0,11,0
0.6,0,0.943802258,1,11,0
0.8,1,0.9069374758,1,11,1
0.4,0,0.8224387439,1,11,0
0.4,0,1.007970291,1,11,0
0.2,0,0.702645991,1,10,0
0.4,0,1.045809149,1,11,1
0.8,0,0.862925611,0,12,1
0.6,1,1.095885129,0,8,1
0.8,1,1.025536955,1,7,0
0.6,0,0.5990777723,0,7,0
0,0,1.109531563,0,8,0
0,1,0.7794482922,1,10,1
0,0,0.8320967648,0,8,0
0.6,1,0.7757728728,1,9,0
0.6,0,0.5839237152,1,9,0
0,0,0.987168293,0,9,1
1,1,0.7812638958,1,9,0
0.8,1,0.6210076902,1,8,0
0.2,0,0.6485600448,1,11,1
0.2,0,0.7575197928,0,10,1
0.2,0,0.6361580468,0,8,0
0.8,0,0.8330336772,1,8,1
0.8,1,0.6445521042,1,10,1
1,1,0.6296711699,1,12,1
1,1,0.6122550271,0,11,0
0,0,0.7343666558,1,10,1
0,0,0.60086268,0,9,1
0.4,1,0.6449325252,1,9,1
0.4,0,0.69105794,0,9,1
0.8,0,0.681110966,0,12,0
0,0,0.8699469711,0,12,1
0,1,0.5786428372,0,8,0
0.2,0,0.7485874002,1,7,0
0,0,0.7660839939,1,11,0
0.2,0,0.6728449641,1,11,1
0.4,1,0.7003585277,0,10,0
0.6,0,0.8088924913,1,7,1
0.2,0,0.9013326988,0,8,1
1,1,0.6420431207,0,5,0
0.6,0,0.8295955961,1,14,1
0.4,0,0.7831635047,0,14,0
0,1,0.8359309509,1,10,1
0.6,1,0.6480840496,0,5,1
0.8,1,0.592084649,1,9,0
0.4,0,0.8369850107,0,8,1
0.4,1,0.4564553569,1,10,0
0.8,1,0.54400755,1,8,1
0.8,1,0.5721872021,0,10,0
0.2,0,0.5139577608,0,11,1
0.6,1,0.6231317548,0,12,0
0.4,1,0.5657977378,1,13,1
0.2,1,0.8437788719,0,14,1
0,1,0.586297344,0,15,1
0.4,1,0.7474882333,1,14,0
0,1,0.7255744752,0,14,1
0,0,0.7022460313,0,15,0
0.2,0,0.8739233022,0,12,0
1,0,0.781735681,0,15,1
0.2,0,0.9612938138,0,12,0
0,0,0.4745927937,1,11,0
0.4,1,0.771852171,1,15,1
0.2,0,1.016562243,1,10,0
1,1,0.3631443582,1,13,0
0.2,1,0.769910105,1,10,0
0,0,0.7230928261,1,10,1
0.2,1,0.8406970319,0,9,1
0.2,0,0.7208850211,0,8,1
0.8,0,0.6511075092,1,8,0
0.2,0,0.6604984258,0,9,0
0.4,0,0.655208562,0,8,0
0.8,1,0.7762000607,1,7,1
0,1,0.6888188259,0,8,0
0.4,0,0.74773937,1,7,0
1,1,0.6731574312,1,12,0
0.6,0,0.5065603419,0,11,1
1,1,1.211792223,1,11,0
0.4,1,0.6944780303,1,9,0
0.4,0,0.6219285768,1,10,1
0.8,1,0.7836342831,0,11,1
0.2,0,0.6419121581,0,14,0
0.6,0,0.6402151906,1,15,1
0.2,0,0.486720379,1,13,1
0.8,1,0.4077309552,0,10,0
0.6,1,0.5417602006,1,14,1
1,1,0.6381922229,0,14,1
0.6,1,0.4909360837,1,14,1
0.6,1,0.5897281361,0,15,1
1,1,0.7793530589,0,15,0
1,1,1.153368621,0,12,1
0.8,1,0.4644353739,1,13,0
0.8,1,0.4968063501,1,13,1
0.8,0,0.428173685,0,13,0
0.8,0,0.5049714688,1,12,1
1,1,0.4755213899,0,10,1
0.6,1,0.5359169119,0,6,0
0,1,0.4992831168,1,15,1
0.6,0,1.404681065,0,19,0
0.8,0,0.4158794731,1,5,1
0.4,0,0.4160599331,0,14,1
1,1,0.3674307498,1,9,0
1,1,0.4184420747,0,11,1
0.6,0,0.396951485,1,10,0
0.4,1,0.5147667844,1,7,1
0.4,1,0.5676192022,0,8,0
0.2,0,0.6148589822,0,9,1
1,1,0.426674386,0,9,0
0.4,0,0.4065873758,1,12,1
1,0,0.491414946,0,12,1
0.6,0,0.5214820984,0,11,1
1,1,0.4566178438,1,11,0
0.6,0,0.673359591,0,9,1
0.2,1,0.5500856061,0,9,0
0,0,0.519760374,0,10,0
0.2,0,0.5057565519,0,11,1
0.2,0,0.380780817,1,11,0
0,1,0.5496498048,1,11,1
0.8,1,0.5846890891,1,12,0
0.4,0,0.671169756,1,10,0
0.4,0,0.4058385338,1,14,0
1,1,0.4363150289,1,13,1
0.6,0,0.4898285549,0,16,1
0,0,0.5505305533,0,10,1
0.6,1,0.3948354847,1,14,0
0.8,0,0.3428349472,0,17,0
0.4,1,0.4049014412,0,15,0
0.2,0,0.4210518538,1,14,1
1,1,0.2791852648,0,14,0
1,0,1.26489456,1,14,0
0.6,0,0.4679985121,1,14,0
0.2,1,0.46196002,0,12,1
0.8,0,0.3985575712,1,15,0
0,1,0.4810183179,1,15,0
0.2,0,0.3244858719,1,15,1
0,1,0.4363051299,0,13,1
0.8,1,0.359053425,0,13,0
1,1,0.9872587551,1,12,1
0.6,1,0.662497439,1,11,1
0.8,1,0.4544925252,1,12,1
0.6,0,0.4259920758,0,11,0
0,0,0.299016369,1,11,1
0,1,0.3677500277,0,7,1
0.4,0,0.4963232731,1,8,1
0.2,0,0.4133333219,0,10,1
0,0,0.5620154561,0,10,0
1,0,0.4013553201,0,9,1
0.2,0,0.3582728342,0,11,0
0.4,1,0.5004772078,1,12,0
0,1,0.4957401198,1,11,0
0.6,0,0.481465226,1,10,1
0.2,1,0.525746013,0,14,0
1,0,0.3868116946,1,10,1
0.2,1,0.6657324433,0,10,1
1,0,0.4506245302,0,13,0
1,0,0.4958075229,1,6,1
0.4,1,0.6900105057,0,17,0
0.6,1,0.5331796529,1,7,1
0,0,0.5765491431,0,12,1
1,1,0.4716953351,1,7,0
0.6,1,0.542210341,0,7,1
1,1,0.7384294039,1,10,0
