0.6,0,1.234464261,0,7,1
0.2,0,1.228670315,0,9,0
0,0,0.9431254165,1,9,1
0,1,1.345462078,1,10,1
0.2,0,1.178610248,0,11,0
0.8,0,1.221064244,0,14,1
1,0,0.8470971379,1,10,1
0.8,1,1.190515753,0,13,0
0,0,1.118845178,0,11,0
1,1,0.6754132556,0,10,0
0,0,0.8658701582,0,12,1
1,0,0.6227816502,1,13,0
0.8,0,0.9835529393,1,8,0
0,0,1.015812689,0,8,1
0.2,0,1.025298389,0,7,1
0.2,0,0.6921821861,1,8,1
0.6,0,0.8206729786,0,9,1
0.4,1,1.096418489,1,7,1
1,1,0.7130236272,0,7,0
0,1,0.8749244437,1,8,0
0.4,1,0.9408499356,1,8,1
1,1,0.7728819856,1,7,0
0.2,1,1.002185589,1,10,1
0.6,0,1.044990768,0,10,0
0.4,0,0.7827595565,1,7,1
0.4,1,0.8638187591,0,8,0
0.8,0,0.8737190161,1,10,0
0.6,0,0.5916062929,1,14,0
0.6,1,0.95356631,1,11,1
0.2,0,0.698176913,1,11,1
0.2,0,0.9163268963,0,11,0
1,1,0.6533790128,0,10,1
0.2,1,0.9355084477,1,12,1
0.6,0,0.6402553767,0,12,1
0.4,0,0.9449735573,0,12,1
0,0,0.7946943836,0,11,1
0.8,1,1.043008291,1,11,0
0,0,0.8398157572,1,12,0
0,0,0.5466984073,0,13,0
0.2,0,0.8280341225,0,9,0
0.2,1,0.7717167577,0,9,0
0.4,0,0.9250751473,1,10,1
0.6,0,0.9908863595,1,10,1
0,0,0.7604068201,1,11,1
0.2,0,0.9414622989,0,11,1
1,1,0.7676283466,1,11,0
0.4,1,1.319370577,0,9,1
1,1,0.8731797533,1,8,1
0.2,0,1.019614589,0,9,1
1,1,0.9065099973,1,8,0
0.4,1,0.9702580459,0,5,0
0.2,0,0.9951596828,0,16,1
0,0,1.066942966,0,9,1
0.4,0,1.085916813,1,7,0
0.4,1,0.8475372083,1,10,0
0.6,0,0.5053048972,1,9,0
0.8,0,0.9206164153,0,20,0
0.8,0,0.8462513685,0,8,1
0.6,0,0.7648518188,0,8,0
0.4,1,1.030973247,1,9,1
1,1,0.7555124583,1,11,1
0.4,1,0.6283292752,0,12,0
0.4,0,0.9180136975,0,13,1
0.8,1,1.222531518,1,13,1
1,1,0.6967349984,0,14,0
0.2,0,1.050365109,0,13,0
0.2,1,0.6690972149,0,12,0
0.8,1,0.598167602,0,10,1
0.2,0,0.5536992857,1,14,0
