experiment_filename,original_filename,subcategory,category,memorability_score,type
highmem_182.jpg,000000457766.jpg,truck,vehicle,0.835164835164835,highmem
lowmem_181.jpg,n04467665_48953.jpg,truck,vehicle,0.413461538461538,lowmem
lowmem_182.jpg,000000358266.jpg,truck,vehicle,0.39622641509434,lowmem
highmem_183.jpg,sun_avauwsvpzzujahyj.jpg,tundra,landscape,0.847826086956522,highmem
highmem_184.jpg,350146445a1383f8.jpg,tundra,landscape,0.531914893617021,highmem
lowmem_183.jpg,sun_andjgmkvgepklowz.jpg,tundra,landscape,0.319587628865979,lowmem
lowmem_184.jpg,sun_aysvauwwrhbjujnn.jpg,tundra,landscape,0.305263157894737,lowmem
highmem_185.jpg,n09468604_57366.jpg,valley,landscape,0.83,highmem
highmem_186.jpg,n09468604_89593.jpg,valley,landscape,0.828828828828829,highmem
lowmem_185.jpg,n09468604_22268.jpg,valley,landscape,0.263157894736842,lowmem
lowmem_186.jpg,n09468604_22272.jpg,valley,landscape,0.2,lowmem
highmem_187.jpg,n09472597_4921.jpg,volcano,landscape,0.773584905660377,highmem
highmem_188.jpg,n09472597_31092.jpg,volcano,landscape,0.767441860465116,highmem
lowmem_187.jpg,n09472597_21205.jpg,volcano,landscape,0.298076923076923,lowmem
lowmem_188.jpg,n09472597_40484.jpg,volcano,landscape,0.274509803921569,lowmem
highmem_189.jpg,sun_bsncxbgeurpzwnse.jpg,waterfall,landscape,0.81,highmem
highmem_190.jpg,sun_bngquulvvnytlqxq.jpg,waterfall,landscape,0.717171717171717,highmem
lowmem_189.jpg,sun_aeqvxsrjzbspqkaf.jpg,waterfall,landscape,0.361904761904762,lowmem
lowmem_190.jpg,sun_btpaxygvjiqfrsvs.jpg,waterfall,landscape,0.324074074074074,lowmem
highmem_191.jpg,2b08282fb15a689b.jpg,wetland,landscape,0.7,highmem
highmem_192.jpg,fc19beae7ab242a5.jpg,wetland,landscape,0.666666666666667,highmem
lowmem_191.jpg,48e5771d92691ae3.jpg,wetland,landscape,0.218390804597701,lowmem
lowmem_192.jpg,54401066098de1aa.jpg,wetland,landscape,0.179775280898876,lowmem
highmem_193.jpg,n02396427_18185.jpg,wild boar,animal,0.904109589041096,highmem
