"N","n_reps","n_converged","power"
15,150,127,0.530612244897959
20,150,135,0.587837837837838
30,150,135,0.793333333333333
40,150,137,0.9
50,150,137,0.96
60,150,136,0.986666666666667
80,150,136,0.986666666666667
100,150,139,1
