"rep","N","p","conv_ok"
32,15,0.949879532476598,TRUE
32,20,0.186721723423101,TRUE
32,30,0.0315662591788795,TRUE
32,40,0.0598678274984955,TRUE
32,50,0.000349999620262263,TRUE
32,60,0.00477875261842282,TRUE
32,80,0.00398414054182235,TRUE
32,100,0.000177368355629437,TRUE
33,15,0.000919496288491594,TRUE
33,20,0.00186270631585966,TRUE
33,30,7.60756786811357e-05,TRUE
33,40,0.00640151423170469,TRUE
33,50,0.000129481648879782,TRUE
33,60,0.0014358555018606,TRUE
33,80,0.00111036381063313,TRUE
33,100,7.79569739382713e-05,TRUE
34,15,0.405375694467723,FALSE
34,20,0.0834980325034103,TRUE
34,30,0.262673777067231,TRUE
34,40,0.0128263431094482,TRUE
34,50,0.0126169679112456,TRUE
34,60,0.0369172924375332,TRUE
34,80,0.0616833744718702,TRUE
34,100,0.001995904877781,TRUE
35,15,0.146344535279139,TRUE
35,20,0.724333545338605,TRUE
35,30,0.0902154657706815,FALSE
35,40,0.000188104295471266,TRUE
35,50,0.00413594604595012,TRUE
35,60,0.00153516461893751,TRUE
35,80,1.66283315310476e-05,TRUE
35,100,2.33887398662516e-06,TRUE
36,15,0.0107303776232618,TRUE
36,20,0.416666156278357,TRUE
36,30,0.00189150748105796,TRUE
36,40,4.01070851914871e-08,TRUE
36,50,0.00207783327483655,TRUE
36,60,8.72750469273122e-06,TRUE
36,80,4.84812447407221e-06,TRUE
36,100,3.47151624438586e-07,TRUE
37,15,0.458538786912715,TRUE
37,20,0.135151956713892,TRUE
37,30,0.00337074593205058,TRUE
37,40,0.00125657964393246,TRUE
37,50,0.00012449947425588,TRUE
37,60,0.00120238411986988,FALSE
37,80,0.000204426786780096,TRUE
37,100,2.63458941415508e-05,TRUE
38,15,NA,FALSE
38,20,6.5798435299065e-05,TRUE
38,30,0.000722228619103525,TRUE
38,40,9.04378967084175e-06,TRUE
38,50,2.43806587953528e-05,TRUE
38,60,1.7153836890483e-05,TRUE
38,80,1.03784298527094e-06,TRUE
38,100,4.09270831726148e-09,TRUE
39,15,0.00100834774073416,TRUE
39,20,0.000885610285807739,TRUE
39,30,0.00060681489439204,TRUE
39,40,0.000165378656263481,TRUE
39,50,0.00425110083808907,TRUE
39,60,7.26408011679301e-06,TRUE
39,80,9.69576841824143e-08,TRUE
39,100,5.50386703115418e-07,TRUE
40,15,0.00482335771355828,TRUE
40,20,0.16271008116322,FALSE
40,30,0.00712984109542965,TRUE
40,40,0.0448537302100565,TRUE
40,50,0.000202290477717342,TRUE
40,60,0.00284097671617403,TRUE
40,80,0.000199430337238423,TRUE
40,100,7.1459812174246e-05,TRUE
41,15,2.67259970560449e-05,TRUE
41,20,0.00754168949967211,TRUE
