image_filename,image_filepath,memorability_score,recognizability,nameability,concreteness_score,category27_label,category27_id
wine_bottle_03s.jpg,wine_bottle/wine_bottle_03s.jpg,0.775,0.363636364,0.529411765,5.0,container,6
wine_bottle_04s.jpg,wine_bottle/wine_bottle_04s.jpg,0.820512821,0.2,0.166666667,5.0,container,6
wine_bottle_05s.jpg,wine_bottle/wine_bottle_05s.jpg,0.794871795,0.571428571,0.470588235,5.0,container,6
wine_bottle_06s.jpg,wine_bottle/wine_bottle_06s.jpg,0.853658537,0.083333333,0.105263158,5.0,container,6
wine_bottle_07s.jpg,wine_bottle/wine_bottle_07s.jpg,0.75,0.071428571,0.0625,5.0,container,6
wine_bottle_08s.jpg,wine_bottle/wine_bottle_08s.jpg,0.8,0.538461538,0.277777778,5.0,container,6
wine_bottle_09s.jpg,wine_bottle/wine_bottle_09s.jpg,0.769230769,0.466666667,0.388888889,5.0,container,6
wine_bottle_10s.jpg,wine_bottle/wine_bottle_10s.jpg,0.8,0.333333333,0.578947368,5.0,container,6
wine_bottle_11s.jpg,wine_bottle/wine_bottle_11s.jpg,0.815789474,0.470588235,0.45,5.0,container,6
wine_bottle_12s.jpg,wine_bottle/wine_bottle_12s.jpg,0.725,0.416666667,0.588235294,5.0,container,6
wine_bottle_13s.jpg,wine_bottle/wine_bottle_13s.jpg,0.692307692,0.588235294,0.529411765,5.0,container,6
wine_bottle_14s.jpg,wine_bottle/wine_bottle_14s.jpg,0.717948718,0.125,0.0,5.0,container,6
wine_bottle_15s.jpg,wine_bottle/wine_bottle_15s.jpg,0.756097561,0.6,0.944444444,5.0,container,6
wine_cooler_01b.jpg,wine_cooler/wine_cooler_01b.jpg,0.756097561,0.263157895,0.2,4.96,container,6
wine_cooler_02s.jpg,wine_cooler/wine_cooler_02s.jpg,0.731707317,0.1,0.0,4.96,container,6
wine_cooler_03s.jpg,wine_cooler/wine_cooler_03s.jpg,0.743589744,0.083333333,0.0,4.96,container,6
wine_cooler_04s.jpg,wine_cooler/wine_cooler_04s.jpg,0.804878049,0.153846154,0.0,4.96,container,6
wine_cooler_05s.jpg,wine_cooler/wine_cooler_05s.jpg,0.658536585,0.411764706,0.0,4.96,container,6
wine_cooler_06s.jpg,wine_cooler/wine_cooler_06s.jpg,0.775,0.090909091,0.0,4.96,container,6
wine_cooler_07s.jpg,wine_cooler/wine_cooler_07s.jpg,0.87804878,0.166666667,0.0,4.96,container,6
wine_cooler_08s.jpg,wine_cooler/wine_cooler_08s.jpg,0.756097561,0.090909091,0.0,4.96,container,6
wine_cooler_09s.jpg,wine_cooler/wine_cooler_09s.jpg,0.634146341,0.214285714,0.052631579,4.96,container,6
wine_cooler_10s.jpg,wine_cooler/wine_cooler_10s.jpg,0.744186047,0.25,0.0,4.96,container,6
wine_cooler_11s.jpg,wine_cooler/wine_cooler_11s.jpg,0.738095238,0.285714286,0.0,4.96,container,6
wine_cooler_12s.jpg,wine_cooler/wine_cooler_12s.jpg,0.681818182,0.25,0.0,4.96,container,6
wine_cooler_13s.jpg,wine_cooler/wine_cooler_13s.jpg,0.657894737,0.3,0.0,4.96,container,6
wineglass_01b.jpg,wineglass/wineglass_01b.jpg,0.80952381,0.266666667,0.473684211,4.93,container,6
wineglass_02s.jpg,wineglass/wineglass_02s.jpg,0.804878049,0.466666667,0.944444444,4.93,container,6
wineglass_03s.jpg,wineglass/wineglass_03s.jpg,0.804878049,0.375,0.764705882,4.93,container,6
wineglass_04s.jpg,wineglass/wineglass_04s.jpg,0.65,0.176470588,0.888888889,4.93,container,6
wineglass_05s.jpg,wineglass/wineglass_05s.jpg,0.9,0.266666667,0.315789474,4.93,container,6
wineglass_06s.jpg,wineglass/wineglass_06s.jpg,0.9,0.277777778,0.0625,4.93,container,6
wineglass_07s.jpg,wineglass/wineglass_07s.jpg,0.813953488,0.315789474,0.388888889,4.93,container,6
wineglass_08s.jpg,wineglass/wineglass_08s.jpg,0.75,0.352941176,0.8125,4.93,container,6
wineglass_09s.jpg,wineglass/wineglass_09s.jpg,0.625,0.285714286,0.777777778,4.93,container,6
wineglass_10s.jpg,wineglass/wineglass_10s.jpg,0.738095238,0.333333333,0.117647059,4.93,container,6
wineglass_11s.jpg,wineglass/wineglass_11s.jpg,0.738095238,0.333333333,0.333333333,4.93,container,6
wineglass_12s.jpg,wineglass/wineglass_12s.jpg,0.7,0.052631579,0.705882353,4.93,container,6
wineglass_13s.jpg,wineglass/wineglass_13s.jpg,0.725,0.357142857,0.277777778,4.93,container,6
wing_01b.jpg,wing/wing_01b.jpg,0.853658537,0.866666667,0.944444444,4.86,,
wing_02s.jpg,wing/wing_02s.jpg,0.923076923,0.8,0.777777778,4.86,,
wing_03s.jpg,wing/wing_03s.jpg,0.789473684,0.875,0.888888889,4.86,,
wing_04s.jpg,wing/wing_04s.jpg,0.725,0.538461538,0.894736842,4.86,,
wing_05s.jpg,wing/wing_05s.jpg,0.75,0.8,0.947368421,4.86,,
wing_06s.jpg,wing/wing_06s.jpg,0.875,1.0,1.0,4.86,,
wing_07s.jpg,wing/wing_07s.jpg,0.833333333,0.8,0.777777778,4.86,,
wing_08s.jpg,wing/wing_08s.jpg,0.804878049,0.733333333,0.857142857,4.86,,
wing_09s.jpg,wing/wing_09s.jpg,0.875,0.875,0.842105263,4.86,,
wing_10s.jpg,wing/wing_10s.jpg,0.717948718,0.846153846,0.894736842,4.86,,
wing_11s.jpg,wing/wing_11s.jpg,0.756097561,0.615384615,0.529411765,4.86,,
wing_12s.jpg,wing/wing_12s.jpg,0.875,0.833333333,1.0,4.86,,
wing_13s.jpg,wing/wing_13s.jpg,0.906976744,0.846153846,0.684210526,4.86,,
wing_14s.jpg,wing/wing_14s.jpg,0.846153846,0.764705882,0.888888889,4.86,,
wing_15s.jpg,wing/wing_15s.jpg,0.897435897,0.916666667,0.882352941,4.86,,
wire_01s.jpg,wire/wire_01s.jpg,0.85,0.764705882,0.888888889,4.72,,
wire_02s.jpg,wire/wire_02s.jpg,0.769230769,0.705882353,0.85,4.72,,
wire_03s.jpg,wire/wire_03s.jpg,0.875,0.529411765,0.588235294,4.72,,
wire_04s.jpg,wire/wire_04s.jpg,0.75,0.785714286,0.95,4.72,,
wire_05s.jpg,wire/wire_05s.jpg,0.785714286,0.571428571,0.8,4.72,,
wire_06s.jpg,wire/wire_06s.jpg,0.8,0.642857143,1.0,4.72,,
wire_07s.jpg,wire/wire_07s.jpg,0.80952381,0.375,0.777777778,4.72,,
wire_08s.jpg,wire/wire_08s.jpg,0.815789474,0.727272727,0.611111111,4.72,,
wire_09s.jpg,wire/wire_09s.jpg,0.675,0.692307692,0.333333333,4.72,,
wire_10s.jpg,wire/wire_10s.jpg,0.815789474,0.666666667,0.941176471,4.72,,
wire_11s.jpg,wire/wire_11s.jpg,0.87804878,0.454545455,0.722222222,4.72,,
wire_12s.jpg,wire/wire_12s.jpg,0.738095238,0.5,0.875,4.72,,
wire_13s.jpg,wire/wire_13s.jpg,0.8,0.5,0.611111111,4.72,,
wire_cutters_01b.jpg,wire_cutters/wire_cutters_01b.jpg,0.658536585,0.6,0.388888889,4.5,tool,23
wire_cutters_02s.jpg,wire_cutters/wire_cutters_02s.jpg,0.756097561,0.2,0.0625,4.5,tool,23
wire_cutters_03s.jpg,wire_cutters/wire_cutters_03s.jpg,0.794871795,0.375,0.0625,4.5,tool,23
wire_cutters_04s.jpg,wire_cutters/wire_cutters_04s.jpg,0.717948718,0.1,0.277777778,4.5,tool,23
wire_cutters_05s.jpg,wire_cutters/wire_cutters_05s.jpg,0.820512821,0.666666667,0.4,4.5,tool,23
wire_cutters_06s.jpg,wire_cutters/wire_cutters_06s.jpg,0.789473684,0.5625,0.25,4.5,tool,23
wire_cutters_07s.jpg,wire_cutters/wire_cutters_07s.jpg,0.641025641,0.545454545,0.315789474,4.5,tool,23
wire_cutters_08s.jpg,wire_cutters/wire_cutters_08s.jpg,0.85,0.692307692,0.315789474,4.5,tool,23
wire_cutters_09s.jpg,wire_cutters/wire_cutters_09s.jpg,0.789473684,0.6875,0.357142857,4.5,tool,23
wire_cutters_10s.jpg,wire_cutters/wire_cutters_10s.jpg,0.756097561,0.4375,0.3125,4.5,tool,23
wire_cutters_11s.jpg,wire_cutters/wire_cutters_11s.jpg,0.69047619,0.642857143,0.526315789,4.5,tool,23
wire_cutters_12s.jpg,wire_cutters/wire_cutters_12s.jpg,0.731707317,0.1875,0.071428571,4.5,tool,23
wire_cutters_13s.jpg,wire_cutters/wire_cutters_13s.jpg,0.894736842,0.1,0.333333333,4.5,tool,23
wok_01b.jpg,wok/wok_01b.jpg,0.857142857,0.375,0.941176471,4.57,container,6
wok_02s.jpg,wok/wok_02s.jpg,0.829268293,0.357142857,0.764705882,4.57,container,6
wok_03s.jpg,wok/wok_03s.jpg,0.692307692,0.411764706,0.875,4.57,container,6
wok_04s.jpg,wok/wok_04s.jpg,0.651162791,0.375,0.588235294,4.57,container,6
wok_05s.jpg,wok/wok_05s.jpg,0.731707317,0.266666667,0.705882353,4.57,container,6
wok_06s.jpg,wok/wok_06s.jpg,0.853658537,0.090909091,0.263157895,4.57,container,6
wok_07s.jpg,wok/wok_07s.jpg,0.707317073,0.142857143,0.315789474,4.57,container,6
wok_08s.jpg,wok/wok_08s.jpg,0.818181818,0.375,0.55,4.57,container,6
wok_09s.jpg,wok/wok_09s.jpg,0.756097561,0.235294118,0.277777778,4.57,container,6
wok_10s.jpg,wok/wok_10s.jpg,0.6,0.375,0.666666667,4.57,container,6
wok_11s.jpg,wok/wok_11s.jpg,0.833333333,0.1875,0.8125,4.57,container,6
wok_12s.jpg,wok/wok_12s.jpg,0.8,0.285714286,0.8,4.57,container,6
wolf_01b.jpg,wolf/wolf_01b.jpg,0.925,0.9375,0.944444444,4.79,animal,1
