concept_id,memorability_bin,image_name,image_filepath,source_path,memorability_score,recognizability,nameability,concreteness_score,memorability_percentile,things_file_path,category27_label,category27_id,things_category,selection_source
bumper,low,bumper_03s.jpg,images/bumper_03s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/bumper/bumper_03s.jpg,0.43902439,0.642857143,0.578947368,4.96,0.030644296330345516,bumper/bumper_03s.jpg,part of car,20,part of car,milp
engine,low,engine_10s.jpg,images/engine_10s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/engine/engine_10s.jpg,0.5,0.941176471,0.888888889,4.86,0.20493373170918563,engine/engine_10s.jpg,part of car,20,part of car,milp
hubcap,low,hubcap_12s.jpg,images/hubcap_12s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/hubcap/hubcap_12s.jpg,0.444444444,0.375,0.3125,5.0,0.038305370412931895,hubcap/hubcap_12s.jpg,part of car,20,part of car,milp
rearview_mirror,low,rearview_mirror_11s.jpg,images/rearview_mirror_11s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/rearview_mirror/rearview_mirror_11s.jpg,0.41025641,0.642857143,0.052631579,4.69,0.01723741668581935,rearview_mirror/rearview_mirror_11s.jpg,part of car,20,part of car,milp
windshield,low,windshield_07s.jpg,images/windshield_07s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/windshield/windshield_07s.jpg,0.435897436,0.444444444,0.944444444,4.86,0.022983222247759134,windshield/windshield_07s.jpg,part of car,20,part of car,milp
bush,low,bush_03s.jpg,images/bush_03s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/bush/bush_03s.jpg,0.463414634,0.153846154,0.45,4.9,0.07852600934651038,bush/bush_03s.jpg,plant,21,plant,milp
orchid,low,orchid_05s.jpg,images/orchid_05s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/orchid/orchid_05s.jpg,0.461538462,0.176470588,0.25,4.92,0.06511912970198422,orchid/orchid_05s.jpg,plant,21,plant,milp
plant,low,plant_10s.jpg,images/plant_10s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/plant/plant_10s.jpg,0.473684211,0.272727273,0.35,4.76,0.09001762047038994,plant/plant_10s.jpg,plant,21,plant,milp
poinsettia,low,poinsettia_08s.jpg,images/poinsettia_08s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/poinsettia/poinsettia_08s.jpg,0.5,0.181818182,0.45,4.92,0.20493373170918563,poinsettia/poinsettia_08s.jpg,plant,21,plant,milp
rose,low,rose_11s.jpg,images/rose_11s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/rose/rose_11s.jpg,0.512820513,0.846153846,0.9,4.9,0.273883398452463,rose/rose_11s.jpg,plant,21,plant,milp
weed,low,weed_10s.jpg,images/weed_10s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/weed/weed_10s.jpg,0.512195122,0.2,0.157894737,4.9,0.24898490768405732,weed/weed_10s.jpg,plant,21,plant,milp
baseball,low,baseball_07s.jpg,images/baseball_07s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/baseball/baseball_07s.jpg,0.525,0.705882353,0.894736842,4.86,0.34091779667509386,baseball/baseball_07s.jpg,sports equipment,22,sports equipment,milp
